partyUuid,org,role
cc90e65a-1fa9-4631-8d6e-384cd144317d,312939053,revisor
66010860-0980-42c9-be37-7c60ad09625f,312705672,revisor
806e41fb-c429-490f-880d-bb0b92bb7bd9,310495670,revisor
ea9611a5-65bf-4635-8ff5-0f03a44dd022,313588270,revisor
bca78fe3-cc41-49a3-95fa-e1d5793c222f,314249739,revisor
6d435c4a-c824-464e-8322-102023ee3cdc,311136852,revisor
92395bf8-5e74-4646-8764-a53d5930d44c,314319427,revisor
85550aa7-b1e6-4904-ad6e-cf5486d9cf8d,214252872,revisor
dfb86ee2-6a96-44f5-b73e-29f8e037dcea,212779342,revisor
fc4356c0-ad47-42fc-9fea-b13cdeb917bc,314239822,revisor
619b6537-08ab-40b1-a844-4041fef740ea,314241118,regnskapsforer
c9089976-9a5c-4d0c-801e-9e066f6e4825,314244680,regnskapsforer
d12ed266-9bca-473c-9a79-33694ab55f24,314248449,regnskapsforer
132651da-9e6d-4242-8d75-a5229f29755d,314241452,regnskapsforer
309cc9ad-71d3-450d-ada8-e1f1be6fcadf,311186558,regnskapsforer
240832f6-8564-4b8e-ae5a-eef19566698a,314239415,regnskapsforer
770ac064-6dfd-4981-8f93-53d79037af62,313305902,regnskapsforer
9966921c-cbfc-42f9-a7b6-6cb78fed1219,313514803,regnskapsforer
648b320e-1124-4b57-986d-a30c5bae7976,314248465,regnskapsforer
b43b1767-6149-4c41-8fab-86eead0eaea1,310149969,regnskapsforer
078c006f-0241-4314-b514-35a17ba2f87a,314265939,forretningsforer
d16ade36-63d6-4c71-b474-54fc7643f409,314305582,forretningsforer
6269d9da-9009-4c88-8dd9-60211f996da6,310343439,forretningsforer
c4fad942-c861-4692-88c5-03aa23d55ca1,312925613,forretningsforer
3784ea01-42d2-43e1-a4d7-329e63b83d13,314239431,forretningsforer
d591b90d-e1a2-4de5-8df4-482cd464853c,313175650,forretningsforer
635c446c-7f28-473f-b034-857c2e11b7e1,314239377,forretningsforer
2a61aaad-0208-402a-bff5-47edc84b19c6,312834545,forretningsforer
694abd6c-df2e-4380-9d66-7697b2821e6a,312673444,forretningsforer
de3cf948-f65c-47fe-a1e4-d932aa45b0fe,310143324,forretningsforer
