partyUuid,org,role
ae0c7161-27f0-4b3e-8839-6bf67c818438,212204242,revisor
aae8c3ea-3460-4808-9664-39edce455b29,212736112,revisor
abc4b3bc-f752-4d34-8afd-dc8aeb8ad54d,212779342,revisor
056f5237-5e21-4512-84b3-bb6e27ba75f4,213365592,revisor
3585af32-8405-4c8b-9b49-61539da8d8ee,213826492,revisor
317233c9-31ca-4807-a8d5-d9b686ff6b3b,214240432,revisor
4b5210bd-53b8-4b54-978b-ff65f9405f1f,214241552,revisor
3ff438e1-d43f-4489-b37c-6a935eeb4370,214243172,revisor
d4c13b19-e0c6-49fe-9d3b-2fb8d4dd570c,214245272,revisor
51da01b2-5fc8-47c2-a3c4-3787811a1aac,214250772,revisor
c61a0f48-7e39-44e3-8b8a-d73d4e2e7316,210084592,regnskapsforer
430267ea-b54d-4791-b5c6-aaa8a9c7e8f7,210121862,regnskapsforer
b69b331d-cde6-4410-bc27-fb8fb455a987,210223002,regnskapsforer
b71fb3a1-b3d6-4717-9948-ba078dd774a8,210236422,regnskapsforer
22c35efc-2704-4737-949c-39c2151369e0,210310932,regnskapsforer
fa8d8bc2-1a31-407a-92cc-d4c238691041,210333312,regnskapsforer
89440910-119e-4d06-983a-1600b72eea67,210360492,regnskapsforer
0be8b7b0-04f0-4cc1-b8c2-9fc1301fb0bc,210373292,regnskapsforer
d0d75eea-0705-4561-9987-95bc5160fc42,210405372,regnskapsforer
5cb1dac8-71b8-4ed5-b81b-bf134e8e8f9e,210408932,regnskapsforer
c61a0f48-7e39-44e3-8b8a-d73d4e2e7316,210084592,forretningsforer
b69b331d-cde6-4410-bc27-fb8fb455a987,210223002,forretningsforer
b71fb3a1-b3d6-4717-9948-ba078dd774a8,210236422,forretningsforer
5cb1dac8-71b8-4ed5-b81b-bf134e8e8f9e,210408932,forretningsforer
887507b3-3164-4b12-a5fa-0a311c44a62d,210486372,forretningsforer
09e65d6c-00c1-40b3-a05b-1eb68fff1ddf,210583092,forretningsforer
8dd2856a-e3bc-47ae-a895-104149f18ca2,210678662,forretningsforer
89c3feac-14fc-4d7f-8753-b5c97f67869b,210815872,forretningsforer
4dd4a19e-e12b-47e7-9075-228a153bdd92,210925252,forretningsforer
14830c80-fb56-4cd5-9cee-e9d21921dc59,210940332,forretningsforer
