organizationUuid,organizationId,type
1936a51d-54d0-473c-aa89-4d6eeca64694,312939053,revisor
f049053a-b14f-4cc2-9a6b-241983644f50,312705672,revisor
5677aa5b-d712-43bd-8717-6ab443084b54,310495670,revisor
0cbf4d1e-43ac-4c6e-9b6d-8fcc7868bf6c,313588270,revisor
5a9bb196-d221-41fb-aea0-a1acbb45f3e9,314249739,revisor
a3df7972-9f0f-477d-84c7-c27fffe134c1,311136852,revisor
3f9e142a-c22c-4a8b-bea3-0440501169cb,314319427,revisor
5c7161a0-ff0f-481c-9095-f1525a9ece56,214252872,revisor
24477f8b-5dd9-45a1-9aa7-27eeb5f1b2e6,212779342,revisor
e1f6bbaa-2e69-441f-aa24-c4797629ba4e,314239822,revisor
214828c1-0e94-43ae-a983-e5034fb3f35a,314241118,regnskapsforer
e43c720e-4192-47e5-8cad-b0ca45a0a941,314244680,regnskapsforer
51e17635-0830-40f3-86cb-01068a20f367,314248449,regnskapsforer
05b0e9f8-23c3-40b1-bdb1-89b54a46710d,314241452,regnskapsforer
9c7b7df0-2caa-401f-8f21-17924543a860,311186558,regnskapsforer
a3d0233d-aca1-447c-8655-696a17a3f027,314239415,regnskapsforer
f7c456ca-de1e-4262-a54d-76a14493a3c0,313305902,regnskapsforer
8f81fa35-3e37-4a6f-911c-094d436c4b30,313514803,regnskapsforer
a5084f9f-8fc1-42c5-9138-250780b5dcdb,314248465,regnskapsforer
645ad8be-36ae-4041-bf17-4a961ce98712,310149969,regnskapsforer
387b7eb1-7e73-4a8b-b4f8-bd9fb488ca75,314265939,forretningsforer
fe97923d-bac5-448c-a5f8-6f699b9b4dc4,314305582,forretningsforer
33388bce-8fb3-4f0d-bc40-d8c502a445f7,310343439,forretningsforer
f6c5fa6d-f9f4-449c-b195-a07148122d57,312925613,forretningsforer
37596b9e-694e-4a36-a66b-a4663ed9f8a8,314239431,forretningsforer
a347477b-87d8-4c57-9564-b0e810074836,313175650,forretningsforer
8544e510-4a25-4a51-922e-c368d673050b,314239377,forretningsforer
f6e92b0f-3169-4b74-8a1b-7c7f9b27ec26,312834545,forretningsforer
03bc3478-d02c-40a9-a55d-66b0c50354a1,312673444,forretningsforer
2aa67d5a-3603-4276-a96f-4d2120a468d5,310143324,forretningsforer
