organizationUuid,organizationId,type
07106f0c-fdae-4138-a060-99395717e5d8,312939053,revisor
a64db0e6-1f2a-4b42-9d9a-d713c13bf240,312705672,revisor
436f789a-a10b-4640-8331-89201a67d532,310495670,revisor
6c5f85b9-7fea-4216-ab42-ed45dacebd24,313588270,revisor
fbcf33a8-3952-4a17-824e-bd845834cae9,314249739,revisor
b75abd7d-9ed7-401c-bf89-a0ed5feea804,311136852,revisor
c0ca5ed2-5fd9-41e3-98fb-ef24d6f5b32e,314319427,revisor
b36ef8b4-f666-4ba7-b55c-2dbc598fda7d,214252872,revisor
114ffd69-9048-4740-800a-522efb105262,212779342,revisor
06b29d9b-2423-48ae-a676-0fec58de1eda,314239822,revisor
265996d7-34e1-40d8-a304-ca11bd9c4124,314241118,regnskapsforer
034cc7e8-bb67-40f5-a094-1d971547331b,314244680,regnskapsforer
271a26e8-f5b0-491b-ab91-f6d6ddcb25c5,314248449,regnskapsforer
35681d19-66b9-4223-b5eb-63ad1e8c0c20,314241452,regnskapsforer
f79a18dd-57db-47df-a45b-4b11ef0abcc0,311186558,regnskapsforer
48e28731-bab8-4806-ac36-07a42a7b10dc,314239415,regnskapsforer
0090e81c-d88c-4ce5-adc4-89791d229b70,313305902,regnskapsforer
48babff7-ad63-446d-ba19-7ebc10e29ae0,313514803,regnskapsforer
3ef24d84-69ad-4574-a541-69dc6f0fc030,314248465,regnskapsforer
1f91b655-5f0e-4ca1-ab3c-4a4a475ad9fc,310149969,regnskapsforer
bf3f6136-b12f-46f7-a092-e13c1fb2b98a,314265939,forretningsforer
06dc6c7d-e632-4b88-aff7-9cc7badf328f,314305582,forretningsforer
a15f18ad-c9a1-4844-8750-f7322f7292ac,310343439,forretningsforer
b8e0ca7c-afd7-4ad5-9fc7-f91353beb242,312925613,forretningsforer
dd49ea3f-4b41-46c4-97e0-6b132c7eb960,314239431,forretningsforer
12307f0c-9011-4664-8cb0-acf1e0300de3,313175650,forretningsforer
c2380c66-068e-4898-bc16-c921c29287eb,314239377,forretningsforer
a3068abb-c239-4d52-aca4-fce0020dbc65,312834545,forretningsforer
eaa33fe0-29ca-4b01-93f3-9eacef03df36,312673444,forretningsforer
9ab83b36-5232-407c-b524-0da3b435765b,310143324,forretningsforer
