orgNo,partyId,partyUuid,unitType
212897612,51271652,825bb4a1-dc03-4ca7-8c25-53722114837f,AS
214020092,51282312,89977412-3867-41f0-a5a1-358dd73035c3,ENK
214210762,51284106,6d9557c6-8ddf-4fb0-a602-7dcc303556be,AS
310029750,51303458,3e4bbe08-15fe-42ba-9576-f87894dc65a9,AS
310312533,51338844,70dee6c3-396a-4689-9f06-3169443f35b7,ENK
310410284,51347533,61af9426-d96c-443f-a5ae-66fbe0a4e9b9,AS
310428485,51349151,97170025-7212-414d-9d3f-d8b0e0fec31f,ENK
310682217,51371602,8319ff6f-4fc5-4bc9-816a-68c2119e4064,ENK
310764981,51378891,4173758d-4263-4877-92a2-1325708ea8eb,ENK
310832413,51384843,c793af9b-a5dd-439f-a53a-c4a1728cd0af,AS
310951242,51395290,c67edf64-3cb6-4afb-a0be-2cc13a76b745,ENK
311012665,51400721,0c41e35a-efb6-4c84-9357-8337589d7604,ENK
311013289,51400774,4924bed5-2d43-47c3-a018-5fbff704196d,ENK
311057952,51404739,e12f73ee-2676-43eb-914a-d2f5e1ba5059,ENK
311190741,51416456,08effe7a-8845-4c19-9890-2f90e1f73186,AS
311733974,51487363,7c7f14e6-ca59-4e0a-b86e-ad6eaaec648c,ENK
311782630,51443663,f98b46b1-d17f-4676-b89a-06447b6e1629,AS
311800515,51492592,1cce7892-d3ac-4da3-b5fc-c5c601f185b9,AS
311814885,51458940,40429101-38ea-4566-becb-7a786f11beb3,AS
312399121,51427868,cf3fc4be-0677-404e-a87a-10fc99dd43a4,ENK
312440008,51306475,5771e232-1aff-4548-a359-41173b41d14e,AS
312528991,51568757,9b35da8a-13f9-4da8-b99c-6419ab35818e,ENK
312536102,51569264,febb5023-1d47-40b6-81a6-c4c2931b6ff9,AS
312628082,51575743,083c7e62-3d8f-4e4e-9047-8463db47272f,ENK
312697408,51474636,1e8fa1e1-a3e7-4356-8aa9-516a1a0398fe,AS
312721295,51464630,253af229-f584-408d-a9b2-36beeb2878fd,ENK
313052257,51291471,9cef2caf-8e28-46b5-8d04-a82f4fcf9c42,AS
313166481,51286856,d51431fe-58b8-4bc0-98ae-cb18d927928e,AS
313176029,51477712,6297a5ae-95b0-4e33-9827-01c01f39cc2d,AS
313358739,51626771,d2d59775-23b3-4e4b-a6a3-c84cc3646e9c,ENK
313523799,51638170,7a12871e-114b-4c64-ba74-d9633daf743d,AS
313613461,51644413,de07a217-ad47-44c5-a402-534baf0cb526,ENK
313841901,51660144,b6fd4cce-e93f-4c6c-8b37-9db9b6c3b573,AS
313893715,51663733,f2d64e56-a1a2-4076-8b6e-6a5b75ee2380,AS
314017293,51672270,6c7a1f92-8b42-4c67-ab8c-9e8cb996a6bc,ENK
314049837,51674513,fae150a7-2f9e-47c7-a42e-8b9cb60b212e,ENK
314215818,51685965,0418c446-73f9-4b44-907c-ea16496b76ca,ENK
314227719,51686796,3751d6f9-ccee-4339-bd08-d10a7fe5cdfd,ENK
314248562,51245889,27be9030-5df2-4eaf-9acf-272465465113,AS
314264835,51512647,66ba4a3f-e2c5-4db1-93fa-4d6764feddcb,AS
