orgNo,partyId,partyUuid,unitType
212897612,51485189,ce7f8e14-896c-4283-8d9c-69bb2d69e821,AS
214020092,51495843,baa67f1f-7bea-4cd3-b2ae-92abafb4593a,ENK
214210762,51497631,10bd5a48-258f-42c3-8b97-68c1059a9600,AS
310029750,51517012,699fe5a6-1d2a-450c-8add-bbe65abbfdca,AS
310312533,51552375,2e85d08b-4142-4080-9a1c-262036223724,ENK
310410284,51561064,3174a004-54d1-4a2f-997b-64591a3807de,AS
310428485,51562683,39b3a1ec-8804-496b-90e6-d5238633bb5a,ENK
310682217,51585135,59649001-3a15-475c-8e77-954c32e57a97,ENK
310764981,51592423,426eec48-efa3-45e0-ac5d-cbe3667654a6,ENK
310832413,51598375,1ad4af70-8495-445e-927c-2eb71b5908eb,AS
310951242,51608824,d1b50d34-51b8-47f7-b1ac-4b6c1b2f5f14,ENK
311012665,51614254,ad8630f3-486c-4ac1-9de5-86149b968ee3,ENK
311013289,51614309,15cfd450-48a2-4929-93cf-a1da2245354c,ENK
311057952,51618273,2564a312-629b-46aa-8129-579e99634764,ENK
311190741,51629985,94b4af4d-90f0-45b4-b630-f09f16cd14bc,AS
311733974,51700899,177284ca-82a6-4815-86a4-2aeb348f14f5,ENK
311782630,51657178,cf6ea62b-3bee-464d-b8bf-ddd85b28a7b4,AS
311800515,51706129,68a3622f-892d-49d2-ba6e-10ab4fa8ccdf,AS
311814885,51672461,06799615-c3db-475a-a80c-46cc4dc0cd52,AS
312399121,51641394,69e06379-f6cf-4c8d-b2c1-7354a9848b6c,ENK
312440008,51519993,b8489cfd-0088-41c1-b9a1-a4047f224c3f,AS
312528991,51782287,c37c7345-5ec6-47e7-9348-899606159816,ENK
312536102,51782797,d8919a44-41f5-4db1-9477-3f1bcf576b25,AS
312628082,51789276,ff6200cd-60c3-4c1f-ba6f-07650342f848,ENK
312697408,51688167,b154bea7-061d-4391-b8ac-39b065ce1023,AS
312721295,51678170,240b7078-84d0-4b63-9f99-3488246cdc58,ENK
313052257,51504985,9e378031-7411-4f45-842e-72f22e2a788e,AS
313166481,51500382,f386589a-b0bd-47e3-91d3-4c09d608397f,AS
313176029,51691244,dcd57914-22a0-4029-ab2c-6b62614cdd9c,AS
313358739,51840141,1dd28d16-4f74-411b-8b75-576a56f3e173,ENK
313523799,51851551,78918a0e-3bd6-4e35-942b-21127ccda032,AS
313613461,51857784,548ceeb5-f254-406b-badf-c5bac64ced48,ENK
313841901,51873515,db125959-2a3f-449d-b058-1dfd75dc4a7a,AS
313893715,51877102,c356df79-c234-4aac-9a29-4073c1868873,AS
314017293,51885636,ec7108e8-b0a4-4a5b-adbb-4729b17a4289,ENK
314049837,51887886,0bf6c7c6-a0ea-4d24-9ddd-67291d6a4ceb,ENK
314215818,51899339,6dee8886-f2d5-4ef9-b33b-42bd37865dc8,ENK
314227719,51900170,dae7eef7-3c23-4211-8c2b-5e0b715e1e44,ENK
314248562,51459416,aab6e193-9bc6-4217-a754-ecd388ea28fe,AS
314264835,51726175,7a8a9c7a-1981-4337-895b-471116239930,AS
